12:34:53.017 [main] INFO  khppp.custom.listeners.CustomListener - Start Of Execution ->khppp
12:35:00.504 [main] INFO  khppp.custom.listeners.CustomListener - Test Started->userIncorrectLogin
12:35:01.114 [main] INFO  khppp.application.components.Component - Wait for By.id: exampleInputEmail1
12:35:02.179 [main] INFO  khppp.application.components.Component - Enter into [[RemoteWebDriver: firefox on WINDOWS (18251f37-c29c-4009-8056-ac6c052a0dbe)] -> id: exampleInputEmail1] value Admin
12:35:02.179 [main] INFO  khppp.application.components.Component - Wait for By.id: exampleInputPassword1
12:35:02.659 [main] INFO  khppp.application.components.Component - Enter into [[RemoteWebDriver: firefox on WINDOWS (18251f37-c29c-4009-8056-ac6c052a0dbe)] -> id: exampleInputPassword1] value AdminPassword111
12:35:02.660 [main] INFO  khppp.application.components.Component - Wait for By.id: login_button
12:35:02.836 [main] INFO  khppp.application.components.Component - Wait for By.xpath: //*[@id='auth_form']/table/tbody/tr[3]/td
12:35:04.115 [main] INFO  khppp.custom.listeners.CustomListener - userIncorrectLogin --- SUCCESS

12:35:04.162 [main] INFO  khppp.custom.listeners.CustomListener - Test Started->userLogin
12:35:04.365 [main] INFO  khppp.application.components.Component - Wait for By.id: exampleInputEmail1
12:35:04.905 [main] INFO  khppp.application.components.Component - Enter into [[RemoteWebDriver: firefox on WINDOWS (18251f37-c29c-4009-8056-ac6c052a0dbe)] -> id: exampleInputEmail1] value Admin_Admin
12:35:04.905 [main] INFO  khppp.application.components.Component - Wait for By.id: exampleInputPassword1
12:35:05.227 [main] INFO  khppp.application.components.Component - Enter into [[RemoteWebDriver: firefox on WINDOWS (18251f37-c29c-4009-8056-ac6c052a0dbe)] -> id: exampleInputPassword1] value Admin111
12:35:05.227 [main] INFO  khppp.application.components.Component - Wait for By.id: login_button
12:35:05.489 [main] INFO  khppp.application.components.Component - Wait for By.selector: .user_status
12:35:06.030 [main] INFO  khppp.custom.listeners.CustomListener - userLogin --- SUCCESS

